CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 2284.406250 1738815957.3253
MEM 2296.781250 1738815957.4262
MEM 2310.906250 1738815957.5272
MEM 2327.656250 1738815957.6277
MEM 2342.031250 1738815957.7288
MEM 2356.406250 1738815957.8291
MEM 2392.390625 1738815957.9294
MEM 2486.765625 1738815958.0298
MEM 2514.390625 1738815958.1302
MEM 2515.265625 1738815958.2331
MEM 2516.015625 1738815958.3334
MEM 2517.265625 1738815958.4337
MEM 2518.265625 1738815958.5371
MEM 2519.140625 1738815958.6374
MEM 2519.390625 1738815958.7377
MEM 2519.390625 1738815958.8380
MEM 2519.640625 1738815958.9382
MEM 2519.640625 1738815959.0385
MEM 2519.890625 1738815959.1388
MEM 2519.890625 1738815959.2391
MEM 2520.140625 1738815959.3394
MEM 2520.390625 1738815959.4397
MEM 2520.390625 1738815959.5405
MEM 2520.765625 1738815959.6427
MEM 2520.765625 1738815959.7430
MEM 2520.890625 1738815959.8432
MEM 2521.015625 1738815959.9435
MEM 2521.015625 1738815960.0437
MEM 2521.265625 1738815960.1455
MEM 2521.515625 1738815960.2457
MEM 2521.515625 1738815960.3460
MEM 2521.640625 1738815960.4462
MEM 2522.140625 1738815960.5465
MEM 2522.265625 1738815960.6467
MEM 2522.390625 1738815960.7470
MEM 2522.640625 1738815960.8474
MEM 2522.640625 1738815960.9477
MEM 2523.140625 1738815961.0491
MEM 2524.015625 1738815961.1494
MEM 2524.890625 1738815961.2506
MEM 2525.890625 1738815961.3523
MEM 2527.140625 1738815961.4536
MEM 2528.015625 1738815961.5570
MEM 2529.265625 1738815961.6587
MEM 2530.265625 1738815961.7591
MEM 2531.265625 1738815961.8594
MEM 2532.140625 1738815961.9613
MEM 2532.640625 1738815962.0616
MEM 2533.640625 1738815962.1618
MEM 2534.390625 1738815962.2621
MEM 2535.515625 1738815962.3635
MEM 2536.390625 1738815962.4661
MEM 2537.390625 1738815962.5664
MEM 2538.390625 1738815962.6677
MEM 2539.265625 1738815962.7680
MEM 2540.265625 1738815962.8686
MEM 2540.515625 1738815962.9702
MEM 2541.015625 1738815963.0715
MEM 2541.640625 1738815963.1718
MEM 2542.140625 1738815963.2721
MEM 2543.140625 1738815963.3740
MEM 2544.265625 1738815963.4743
MEM 2545.390625 1738815963.5746
MEM 2546.390625 1738815963.6764
MEM 2546.640625 1738815963.7774
MEM 2546.640625 1738815963.8777
MEM 2546.890625 1738815963.9781
MEM 2546.890625 1738815964.0785
MEM 2546.890625 1738815964.1787
MEM 2547.140625 1738815964.2814
MEM 2547.140625 1738815964.3816
MEM 2547.390625 1738815964.4819
MEM 2547.640625 1738815964.5821
MEM 2547.640625 1738815964.6824
MEM 2547.765625 1738815964.7834
MEM 2547.765625 1738815964.8864
MEM 2548.015625 1738815964.9867
MEM 2548.015625 1738815965.0869
MEM 2548.265625 1738815965.1872
MEM 2548.515625 1738815965.2874
MEM 2548.515625 1738815965.3877
MEM 2548.765625 1738815965.4880
MEM 2549.265625 1738815965.5882
MEM 2550.140625 1738815965.6885
MEM 2551.140625 1738815965.7887
MEM 2552.265625 1738815965.8890
MEM 2553.390625 1738815965.9893
MEM 2554.140625 1738815966.0895
MEM 2554.890625 1738815966.1917
MEM 2555.640625 1738815966.2920
MEM 2556.765625 1738815966.3922
MEM 2557.765625 1738815966.4925
MEM 2558.890625 1738815966.5928
MEM 2560.015625 1738815966.6931
MEM 2561.140625 1738815966.7963
MEM 2562.140625 1738815966.8965
MEM 2563.140625 1738815966.9968
MEM 2563.765625 1738815967.0981
MEM 2564.890625 1738815967.1983
MEM 2565.515625 1738815967.2993
MEM 2566.390625 1738815967.3995
MEM 2567.515625 1738815967.5002
MEM 2568.515625 1738815967.6030
MEM 2569.640625 1738815967.7038
MEM 2570.765625 1738815967.8041
MEM 2571.765625 1738815967.9044
MEM 2572.765625 1738815968.0076
MEM 2573.515625 1738815968.1079
MEM 2574.640625 1738815968.2087
MEM 2575.140625 1738815968.3111
MEM 2575.890625 1738815968.4114
MEM 2577.015625 1738815968.5117
MEM 2578.015625 1738815968.6121
MEM 2579.015625 1738815968.7123
MEM 2580.015625 1738815968.8125
MEM 2580.265625 1738815968.9141
MEM 2580.265625 1738815969.0150
MEM 2580.515625 1738815969.1171
MEM 2580.515625 1738815969.2173
MEM 2580.765625 1738815969.3176
MEM 2580.765625 1738815969.4184
MEM 2581.015625 1738815969.5186
MEM 2581.015625 1738815969.6198
MEM 2581.015625 1738815969.7204
MEM 2581.265625 1738815969.8215
MEM 2581.265625 1738815969.9225
MEM 2581.515625 1738815970.0234
MEM 2581.515625 1738815970.1250
MEM 2581.765625 1738815970.2261
MEM 2581.765625 1738815970.3264
MEM 2582.015625 1738815970.4300
MEM 2582.265625 1738815970.5310
MEM 2582.515625 1738815970.6323
MEM 2582.765625 1738815970.7333
MEM 2583.015625 1738815970.8336
MEM 2583.515625 1738815970.9349
MEM 2583.515625 1738815971.0358
MEM 2584.265625 1738815971.1374
MEM 2585.140625 1738815971.2376
MEM 2585.890625 1738815971.3379
MEM 2587.015625 1738815971.4396
MEM 2588.140625 1738815971.5411
MEM 2589.265625 1738815971.6414
MEM 2590.390625 1738815971.7417
MEM 2591.515625 1738815971.8419
MEM 2592.515625 1738815971.9422
MEM 2593.390625 1738815972.0441
MEM 2594.390625 1738815972.1444
MEM 2595.140625 1738815972.2446
MEM 2595.890625 1738815972.3449
MEM 2596.890625 1738815972.4451
MEM 2597.890625 1738815972.5454
MEM 2598.890625 1738815972.6478
MEM 2599.765625 1738815972.7495
MEM 2600.890625 1738815972.8498
MEM 2601.765625 1738815972.9509
MEM 2602.390625 1738815973.0511
MEM 2603.140625 1738815973.1527
MEM 2603.890625 1738815973.2529
MEM 2604.890625 1738815973.3531
MEM 2605.765625 1738815973.4533
MEM 2606.765625 1738815973.5546
MEM 2607.890625 1738815973.6549
MEM 2608.890625 1738815973.7552
MEM 2609.890625 1738815973.8560
MEM 2610.890625 1738815973.9566
MEM 2611.015625 1738815974.0570
MEM 2611.265625 1738815974.1587
MEM 2611.265625 1738815974.2611
MEM 2611.515625 1738815974.3614
MEM 2611.515625 1738815974.4617
MEM 2611.765625 1738815974.5631
MEM 2611.765625 1738815974.6633
MEM 2612.140625 1738815974.7636
MEM 2612.390625 1738815974.8651
MEM 2612.390625 1738815974.9654
MEM 2612.640625 1738815975.0657
MEM 2612.765625 1738815975.1660
MEM 2612.765625 1738815975.2662
MEM 2613.015625 1738815975.3665
MEM 2613.015625 1738815975.4671
MEM 2613.265625 1738815975.5676
MEM 2613.390625 1738815975.6697
MEM 2613.515625 1738815975.7722
MEM 2613.765625 1738815975.8725
MEM 2614.515625 1738815975.9727
MEM 2615.140625 1738815976.0730
MEM 2615.765625 1738815976.1732
MEM 2616.640625 1738815976.2735
MEM 2617.640625 1738815976.3737
MEM 2619.015625 1738815976.4741
MEM 2620.015625 1738815976.5744
MEM 2621.140625 1738815976.6773
MEM 2622.390625 1738815976.7777
MEM 2623.390625 1738815976.8780
MEM 2624.515625 1738815976.9782
MEM 2625.140625 1738815977.0791
MEM 2626.140625 1738815977.1794
MEM 2626.765625 1738815977.2797
MEM 2627.765625 1738815977.3831
MEM 2628.765625 1738815977.4834
MEM 2629.640625 1738815977.5851
MEM 2630.640625 1738815977.6863
MEM 2631.765625 1738815977.7873
MEM 2632.765625 1738815977.8883
MEM 2633.765625 1738815977.9885
MEM 2634.140625 1738815978.0888
MEM 2635.015625 1738815978.1921
MEM 2635.515625 1738815978.2924
MEM 2636.390625 1738815978.3927
MEM 2637.265625 1738815978.4940
MEM 2638.265625 1738815978.5943
MEM 2639.265625 1738815978.6945
MEM 2640.140625 1738815978.7958
MEM 2641.015625 1738815978.8974
MEM 2641.890625 1738815978.9977
MEM 2642.765625 1738815979.0997
MEM 2643.640625 1738815979.2020
MEM 2643.765625 1738815979.3025
MEM 2643.890625 1738815979.4028
MEM 2644.015625 1738815979.5033
MEM 2644.015625 1738815979.6036
MEM 2644.265625 1738815979.7059
MEM 2644.265625 1738815979.8062
MEM 2644.515625 1738815979.9065
MEM 2644.515625 1738815980.0067
MEM 2644.890625 1738815980.1072
MEM 2644.890625 1738815980.2075
MEM 2645.140625 1738815980.3077
MEM 2645.140625 1738815980.4085
MEM 2645.390625 1738815980.5087
MEM 2645.390625 1738815980.6099
MEM 2645.515625 1738815980.7101
MEM 2645.640625 1738815980.8105
MEM 2645.640625 1738815980.9122
MEM 2645.890625 1738815981.0124
MEM 2646.140625 1738815981.1127
MEM 2646.140625 1738815981.2129
MEM 2646.390625 1738815981.3131
MEM 2646.640625 1738815981.4134
MEM 2646.890625 1738815981.5136
MEM 2648.015625 1738815981.6139
MEM 2649.140625 1738815981.7141
MEM 2650.140625 1738815981.8147
MEM 2651.390625 1738815981.9161
MEM 2652.265625 1738815982.0164
MEM 2652.515625 1738815982.1171
MEM 2653.015625 1738815982.2201
MEM 2653.515625 1738815982.3203
