CMDLINE /home/mamm/anaconda3/envs/agar/bin/python train_ppo.py
MEM 1420.078125 1738823993.8837
MEM 1420.078125 1738823993.9845
MEM 1420.078125 1738823994.0848
MEM 1420.078125 1738823994.1880
MEM 1420.078125 1738823994.2902
MEM 1420.078125 1738823994.3904
MEM 1420.078125 1738823994.4907
MEM 1420.078125 1738823994.5910
MEM 1420.078125 1738823994.6913
MEM 1420.078125 1738823994.7915
MEM 1420.078125 1738823994.8918
MEM 1420.078125 1738823994.9921
MEM 1420.078125 1738823995.0923
MEM 1420.078125 1738823995.1926
MEM 1420.078125 1738823995.2928
MEM 1420.078125 1738823995.3950
MEM 1420.078125 1738823995.4952
MEM 1420.078125 1738823995.5955
MEM 1420.078125 1738823995.6962
MEM 1420.078125 1738823995.7964
MEM 1422.078125 1738823995.8987
MEM 1422.078125 1738823995.9990
MEM 1422.078125 1738823996.0992
MEM 1422.078125 1738823996.2008
MEM 1422.078125 1738823996.3021
MEM 1422.078125 1738823996.4044
MEM 1422.078125 1738823996.5047
MEM 1422.078125 1738823996.6049
MEM 1422.078125 1738823996.7051
MEM 1497.078125 1738823996.8054
MEM 1467.539062 1738823996.9082
MEM 1422.167969 1738823997.0085
MEM 1422.167969 1738823997.1088
MEM 1422.167969 1738823997.2092
MEM 1422.167969 1738823997.3095
MEM 1422.167969 1738823997.4098
MEM 1422.167969 1738823997.5122
MEM 1422.167969 1738823997.6126
MEM 1422.167969 1738823997.7130
MEM 1422.167969 1738823997.8133
MEM 1422.167969 1738823997.9137
MEM 1422.167969 1738823998.0140
MEM 1422.167969 1738823998.1143
MEM 1422.167969 1738823998.2172
MEM 1422.167969 1738823998.3175
MEM 1422.167969 1738823998.4180
MEM 1422.167969 1738823998.5193
MEM 1422.167969 1738823998.6197
MEM 1422.167969 1738823998.7201
MEM 1422.167969 1738823998.8216
MEM 1422.167969 1738823998.9222
MEM 1422.167969 1738823999.0242
MEM 1422.167969 1738823999.1244
MEM 1422.167969 1738823999.2247
MEM 1422.167969 1738823999.3250
MEM 1422.167969 1738823999.4253
MEM 1422.167969 1738823999.5256
MEM 1422.167969 1738823999.6266
MEM 1422.167969 1738823999.7280
MEM 1422.167969 1738823999.8283
MEM 1422.167969 1738823999.9311
MEM 1422.167969 1738824000.0314
MEM 1422.167969 1738824000.1316
MEM 1422.167969 1738824000.2318
MEM 1422.167969 1738824000.3332
MEM 1422.167969 1738824000.4341
MEM 1422.167969 1738824000.5348
MEM 1422.167969 1738824000.6367
MEM 1422.167969 1738824000.7370
MEM 1422.167969 1738824000.8372
MEM 1460.042969 1738824000.9382
MEM 1483.894531 1738824001.0384
MEM 1421.902344 1738824001.1387
MEM 1421.902344 1738824001.2390
MEM 1421.902344 1738824001.3394
MEM 1421.902344 1738824001.4402
MEM 1421.902344 1738824001.5406
MEM 1421.902344 1738824001.6431
MEM 1421.902344 1738824001.7435
MEM 1421.902344 1738824001.8438
MEM 1421.902344 1738824001.9473
MEM 1421.902344 1738824002.0475
MEM 1421.902344 1738824002.1500
MEM 1421.902344 1738824002.2503
MEM 1421.902344 1738824002.3506
MEM 1421.902344 1738824002.4509
MEM 1421.902344 1738824002.5532
MEM 1421.902344 1738824002.6534
MEM 1421.902344 1738824002.7537
MEM 1421.902344 1738824002.8545
MEM 1421.902344 1738824002.9548
MEM 1421.902344 1738824003.0567
MEM 1421.902344 1738824003.1570
MEM 1421.902344 1738824003.2572
MEM 1422.902344 1738824003.3574
MEM 1422.902344 1738824003.4582
MEM 1422.902344 1738824003.5597
MEM 1422.902344 1738824003.6620
MEM 1422.902344 1738824003.7622
MEM 1422.902344 1738824003.8642
MEM 1422.902344 1738824003.9645
MEM 1422.902344 1738824004.0658
MEM 1426.652344 1738824004.1690
MEM 1434.027344 1738824004.2701
MEM 1440.527344 1738824004.3704
MEM 1447.527344 1738824004.4707
MEM 1455.027344 1738824004.5710
MEM 1473.652344 1738824004.6732
MEM 1481.527344 1738824004.7734
MEM 1490.652344 1738824004.8737
MEM 1423.160156 1738824004.9740
MEM 1431.785156 1738824005.0742
MEM 1440.035156 1738824005.1745
MEM 1448.785156 1738824005.2747
MEM 1457.785156 1738824005.3750
MEM 1470.910156 1738824005.4753
MEM 1488.535156 1738824005.5756
MEM 1497.285156 1738824005.6759
MEM 1442.925781 1738824005.7761
MEM 1430.437500 1738824005.8764
MEM 1430.437500 1738824005.9766
MEM 1430.437500 1738824006.0769
MEM 1430.437500 1738824006.1789
MEM 1430.437500 1738824006.2792
MEM 1430.437500 1738824006.3796
MEM 1430.437500 1738824006.4800
MEM 1430.437500 1738824006.5802
MEM 1430.437500 1738824006.6829
MEM 1430.437500 1738824006.7836
MEM 1430.437500 1738824006.8838
MEM 1430.437500 1738824006.9842
MEM 1430.437500 1738824007.0854
MEM 1430.437500 1738824007.1862
MEM 1430.437500 1738824007.2865
MEM 1430.437500 1738824007.3882
MEM 1430.437500 1738824007.4885
MEM 1430.437500 1738824007.5888
MEM 1430.437500 1738824007.6894
MEM 1430.437500 1738824007.7895
MEM 1430.437500 1738824007.8897
MEM 1430.437500 1738824007.9899
MEM 1430.437500 1738824008.0902
MEM 1430.437500 1738824008.1904
MEM 1430.437500 1738824008.2914
MEM 1430.437500 1738824008.3916
MEM 1430.437500 1738824008.4931
MEM 1430.437500 1738824008.5933
MEM 1501.562500 1738824008.6961
MEM 1451.472656 1738824008.7965
MEM 1430.550781 1738824008.8968
MEM 1430.550781 1738824008.9971
MEM 1430.550781 1738824009.0974
MEM 1430.550781 1738824009.1976
MEM 1430.550781 1738824009.3007
MEM 1430.550781 1738824009.4031
MEM 1430.550781 1738824009.5034
MEM 1430.550781 1738824009.6037
MEM 1430.550781 1738824009.7040
MEM 1430.550781 1738824009.8042
MEM 1430.550781 1738824009.9045
MEM 1430.550781 1738824010.0057
MEM 1430.550781 1738824010.1059
MEM 1430.550781 1738824010.2061
MEM 1430.550781 1738824010.3064
MEM 1430.550781 1738824010.4081
MEM 1430.550781 1738824010.5083
MEM 1430.550781 1738824010.6086
MEM 1430.550781 1738824010.7088
MEM 1430.550781 1738824010.8091
MEM 1430.550781 1738824010.9093
MEM 1430.550781 1738824011.0116
MEM 1430.550781 1738824011.1119
MEM 1430.550781 1738824011.2121
MEM 1430.550781 1738824011.3125
MEM 1430.550781 1738824011.4128
MEM 1430.550781 1738824011.5151
MEM 1430.550781 1738824011.6154
MEM 1430.550781 1738824011.7156
MEM 1430.550781 1738824011.8159
MEM 1430.550781 1738824011.9162
MEM 1430.550781 1738824012.0165
MEM 1430.550781 1738824012.1168
MEM 1430.550781 1738824012.2174
MEM 1430.550781 1738824012.3200
MEM 1430.550781 1738824012.4220
MEM 1430.550781 1738824012.5242
MEM 1430.550781 1738824012.6247
MEM 1430.550781 1738824012.7260
MEM 1430.550781 1738824012.8262
MEM 1430.550781 1738824012.9277
MEM 1430.550781 1738824013.0280
MEM 1430.550781 1738824013.1283
MEM 1430.550781 1738824013.2307
MEM 1430.550781 1738824013.3310
MEM 1476.425781 1738824013.4332
MEM 1430.691406 1738824013.5335
MEM 1430.644531 1738824013.6338
MEM 1430.644531 1738824013.7344
MEM 1430.644531 1738824013.8349
MEM 1430.644531 1738824013.9353
MEM 1430.644531 1738824014.0356
MEM 1430.644531 1738824014.1360
MEM 1430.644531 1738824014.2392
MEM 1430.644531 1738824014.3405
MEM 1430.644531 1738824014.4408
MEM 1430.644531 1738824014.5413
MEM 1430.644531 1738824014.6416
MEM 1430.644531 1738824014.7449
MEM 1430.644531 1738824014.8451
MEM 1430.644531 1738824014.9454
MEM 1430.644531 1738824015.0458
MEM 1430.644531 1738824015.1475
MEM 1430.644531 1738824015.2482
MEM 1430.644531 1738824015.3487
MEM 1430.644531 1738824015.4499
MEM 1430.644531 1738824015.5501
MEM 1430.644531 1738824015.6504
MEM 1430.644531 1738824015.7506
MEM 1430.644531 1738824015.8508
MEM 1430.644531 1738824015.9511
MEM 1430.644531 1738824016.0514
MEM 1430.644531 1738824016.1516
MEM 1430.644531 1738824016.2521
MEM 1430.644531 1738824016.3524
MEM 1430.644531 1738824016.4526
MEM 1430.644531 1738824016.5529
MEM 1430.644531 1738824016.6537
MEM 1430.644531 1738824016.7554
MEM 1430.644531 1738824016.8557
MEM 1430.644531 1738824016.9559
MEM 1430.644531 1738824017.0561
MEM 1430.644531 1738824017.1564
MEM 1430.644531 1738824017.2567
MEM 1430.644531 1738824017.3570
MEM 1430.644531 1738824017.4572
MEM 1430.644531 1738824017.5595
MEM 1430.644531 1738824017.6614
MEM 1430.644531 1738824017.7616
MEM 1430.644531 1738824017.8621
MEM 1430.644531 1738824017.9623
MEM 1430.644531 1738824018.0634
MEM 1467.933594 1738824018.1642
MEM 1436.769531 1738824018.2644
MEM 1430.750000 1738824018.3648
MEM 1430.750000 1738824018.4652
MEM 1430.750000 1738824018.5685
MEM 1430.750000 1738824018.6689
MEM 1430.750000 1738824018.7722
MEM 1430.750000 1738824018.8725
MEM 1430.750000 1738824018.9728
MEM 1430.750000 1738824019.0732
MEM 1430.750000 1738824019.1734
MEM 1430.750000 1738824019.2771
MEM 1430.750000 1738824019.3780
MEM 1430.750000 1738824019.4782
MEM 1430.750000 1738824019.5797
MEM 1430.750000 1738824019.6800
MEM 1430.750000 1738824019.7802
MEM 1430.750000 1738824019.8805
MEM 1430.750000 1738824019.9820
MEM 1430.750000 1738824020.0822
MEM 1430.750000 1738824020.1825
MEM 1430.750000 1738824020.2827
MEM 1430.750000 1738824020.3830
MEM 1430.750000 1738824020.4861
MEM 1430.750000 1738824020.5864
MEM 1430.750000 1738824020.6866
MEM 1430.750000 1738824020.7869
MEM 1430.750000 1738824020.8871
MEM 1430.750000 1738824020.9874
MEM 1430.750000 1738824021.0876
MEM 1430.750000 1738824021.1879
MEM 1430.750000 1738824021.2882
MEM 1430.750000 1738824021.3886
MEM 1430.750000 1738824021.4890
MEM 1430.750000 1738824021.5894
MEM 1430.750000 1738824021.6897
MEM 1430.750000 1738824021.7908
MEM 1430.750000 1738824021.8911
MEM 1430.750000 1738824021.9913
MEM 1430.750000 1738824022.0922
MEM 1430.750000 1738824022.1924
MEM 1430.750000 1738824022.2926
MEM 1430.750000 1738824022.3929
MEM 1430.750000 1738824022.4937
MEM 1430.750000 1738824022.5951
MEM 1430.750000 1738824022.6961
MEM 1505.500000 1738824022.7992
MEM 1453.359375 1738824022.8994
MEM 1430.812500 1738824022.9997
MEM 1430.812500 1738824023.1000
MEM 1430.812500 1738824023.2004
MEM 1430.812500 1738824023.3032
MEM 1430.812500 1738824023.4035
MEM 1430.812500 1738824023.5040
MEM 1430.812500 1738824023.6044
MEM 1430.812500 1738824023.7049
MEM 1430.812500 1738824023.8052
MEM 1430.812500 1738824023.9056
MEM 1430.812500 1738824024.0060
MEM 1430.812500 1738824024.1063
MEM 1430.812500 1738824024.2083
MEM 1430.812500 1738824024.3086
MEM 1430.812500 1738824024.4090
MEM 1430.812500 1738824024.5103
MEM 1430.812500 1738824024.6106
MEM 1430.812500 1738824024.7108
MEM 1430.812500 1738824024.8111
MEM 1430.812500 1738824024.9114
MEM 1430.812500 1738824025.0117
MEM 1430.812500 1738824025.1151
MEM 1430.812500 1738824025.2154
